2023-58-24 01:58:41
N_eng	k_pcs	k_tank	mu_sa	k_extra	eta_pcs	k_sa	m_platform	m_eng	m_engines	m_fsts	m_pcs	m_sa	m_saos	m_eos	m0	m_f_main	m_f_extra	m_fuel	p_platform	p_eng	p_engines	p_burt_0	p_burt	p_fsts_0	p_fsts	p_pcs	p_saos	p_eos	p_sa	p0	RE	RL	mu0	mu1	h0	h1	R0	R1	J	Vgis	F	track	dt0	eta	m0_iter_cnt	eng_name	platform_name
9	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	11.88	29.91577828475	1.89	52.206	10	10	555.049566225564	284.912174140476	14.2456087070238	299.1577828475	250	300	2700	10	50	20	100	270	10	10	3729	3390	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1200	0	0.018	TrackNS.Track	100	0.513309425819265	5	СПД-50М(2)	Карат
10	0.007	0.1	0.014	0.05	0.1	1.1	140	1.32	13.2	30.7008559252471	2.1	57.288	10	10	570.297426568659	292.389104049972	14.6194552024986	307.00855925247	250	300	3000	10	50	20	100	300	10	10	4092	3720	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1200	0	0.018	TrackNS.Track	100	0.51269581525066	5	СПД-50М(2)	Карат
1	0.007	0.1	0.014	0.05	0.1	1.1	140	1.5	1.5	17.6628963129496	0.469	15.9698	10	10	372.230664664606	168.218060123329	8.41090300616647	176.628963129496	250	670	670	10	10	20	20	67	10	10	1140.7	1037	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1470	0	0.039	TrackNS.Track	100	0.451918866692244	6	СПД-70	Карат
2	0.007	0.1	0.014	0.05	0.1	1.1	140	1.5	3	18.6362187586123	0.938	27.3196	10	10	396.256028845645	177.487797701069	8.87438988505347	186.362187586123	250	670	1340	10	10	20	20	134	10	10	1951.4	1774	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1470	0	0.039	TrackNS.Track	100	0.447911917499701	5	СПД-70	Карат
3	0.007	0.1	0.014	0.05	0.1	1.1	140	1.5	4.5	19.7655131676385	1.407	39.1314	10	10	422.459066598018	188.242982548938	9.4121491274469	197.655131676385	250	670	2010	10	20	20	40	201	10	10	2795.1	2541	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1470	0	0.039	TrackNS.Track	100	0.445588691147813	5	СПД-70	Карат
4	0.007	0.1	0.014	0.05	0.1	1.1	140	1.5	6	20.89059321979	1.876	50.4812	10	10	448.153734883275	198.958030664667	9.94790153323333	208.9059321979	250	670	2680	10	20	20	40	268	10	10	3605.8	3278	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1470	0	0.039	TrackNS.Track	100	0.443950401788991	5	СПД-70	Карат
5	0.007	0.1	0.014	0.05	0.1	1.1	140	1.5	7.5	22.0829550927699	2.345	62.293	10	10	475.050513663012	210.31385802638	10.515692901319	220.829550927699	250	670	3350	10	30	20	60	335	10	10	4449.5	4045	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1470	0	0.039	TrackNS.Track	100	0.442718936149958	5	СПД-70	Карат
6	0.007	0.1	0.014	0.05	0.1	1.1	140	1.5	9	23.2430589876776	2.814	73.6428	10	10	501.130461403173	221.36246654931	11.0681233274655	232.430589876776	250	670	4020	10	30	20	60	402	10	10	5260.2	4782	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1470	0	0.039	TrackNS.Track	100	0.441726224204157	5	СПД-70	Карат
7	0.007	0.1	0.014	0.05	0.1	1.1	140	1.5	10.5	24.4572208631447	3.283	85.4546	10	10	528.267042085191	232.92591298233	11.6462956491165	244.572208631447	250	670	4690	10	40	20	80	469	10	10	6103.9	5549	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1470	0	0.039	TrackNS.Track	100	0.440924559788774	5	СПД-70	Карат
8	0.007	0.1	0.014	0.05	0.1	1.1	140	1.5	12	25.6325996248668	3.752	96.8044	10	10	554.514997202524	244.119996427303	12.2059998213652	256.325996248668	250	670	5360	10	40	20	80	536	10	10	6914.6	6286	6371000	1737000	397300000000000	4904000000000	500000	200000	6871000	1937000	1470	0	0.039	TrackNS.Track	100	0.440240566366763	5	СПД-70	Карат
